artsid;artsnavn;klassifikation
6386;Tejst, Arktisk (ssp. mandtii);SU
6385;Tejst, Atlantisk (ssp. arcticus);Alm
6381;Tejst, Baltisk (ssp. grylle);Alm
6360;Alk;Alm
6361;Alk, Nordlig (ssp. torda);Alm
6362;Alk, Atlantisk (ssp. islandica);Alm
6470;Søkonge;SUB
6350;Polarlomvie;SU
6340;Lomvie;Alm
6341;Lomvie, Nordlig (ssp. aalge);Alm
6343;Lomvie, Arktisk (ssp. hyperborea);SU
6342;Lomvie, Britisk (ssp. albionis);Alm
6220;Brilleterne;SU
6240;Dværgterne;Alm
6060;Rovterne;Alm
6050;Sandterne;SUB
6260;Hvidskægget Terne;SU
6280;Hvidvinget Terne;SUB
6270;Sortterne;Alm
6110;Splitterne;Alm
6120;Aztekerterne;SU
6160;Havterne;Alm
6150;Fjordterne;Alm
6140;Rosenterne;SU
5780;Dværgmåge;Alm
6010;Rosenmåge;SU
6020;Ride;Alm
5790;Sabinemåge;SUB
6040;Ismåge;SU
5850;Tyndnæbbet Måge;SU
5810;Bonapartemåge;SU
5820;Hættemåge;Alm
5760;Lattermåge;SU
5770;Præriemåge;SU
5730;Stor Sorthovedet Måge;SU
5880;Audouinsmåge;SU
5750;Sorthovedet Måge;Alm
5890;Ringnæbbet Måge;SU
5900;Stormmåge;Alm
5901;Stormmåge (ssp. canus);Alm
5902;Stormmåge, Russisk (ssp. heinei);SUB
5930;Kaspisk Måge;Alm
5920;Sølvmåge;Alm
5928;Sølvmåge, Britisk (ssp. argenteus);Alm
5921;Sølvmåge, Skandinavisk (ssp. argentatus);Alm
5915;Middelhavssølvmåge;SUB
5919;Armensk Måge;SU
6000;Svartbag;Alm
5990;Gråmåge;SUB
5910;Sildemåge;Alm
5912;Sildemåge, Britisk (ssp. graellsii);Alm
5913;Sildemåge, Nordsøsildemåge (ssp. intermedius);Alm
5911;Sildemåge, Baltisk (ssp. fuscus);SUB
5922;Sildemåge, Sibirisk Måge (ssp. heuglini);SU
5960;Gråvinget Måge;SU
5980;Hvidvinget Måge;SUB
