artsnavn;bemaerk_antal
Enkeltbekkasin;1
Skovsneppe;5
Tredækker;1
Dobbeltbekkasin;200
Terekklire;1
Mudderklire;10
Plettet Mudderklire;1
Amerikansk Svømmesneppe;1
Thorshane;1
Odinshane;1
Odinshane/Thorshane;1
Svaleklire;10
Damklire;1
Tinksmed;10
Rødben;75
Rødben, Islandsk (ssp. robusta);30
Rødben (ssp. totanus);50
Sortklire/Rødben;25
Lille Gulben;1
Sortklire;25
Hvidklire;75
Stor Gulben;1
Stenvender;10
Islandsk Ryle;30
Islandsk Ryle, Sibirisk (ssp. canutus);30
Islandsk Ryle, Baffinryle (ssp. islandica);30
Islandsk Ryle/Lille Kobbersneppe;30
Brushane;100
Spidshalet Ryle;1
Kærløber;1
Krumnæbbet Ryle;25
Klireryle;1
Rødhalset Ryle;1
Temmincksryle;1
Prærieløber;1
Sandløber;50
Almindelig Ryle;2500
Almindelig Ryle, Engryle (ssp. schinzii);1
Almindelig Ryle, Nordlig (ssp. alpina);2500
Sortgrå Ryle;1
Bairdsryle;1
Stribet Ryle;1
Tyknæbbet Dværgryle;1
Ryle sp.;2500
Dværgryle;25
Dværgryle/Temmincksryle;1
Hvidrygget Ryle;1
Ørkenløber;1
Orientbraksvale;1
Sortvinget Braksvale;1
Rødvinget Braksvale;1
Braksvale sp.;1
Vader sp., Stor;100
Vader sp., Lille;100
Almindelig Kjove;15
Almindelig Kjove/Lille Kjove;1
Lille Kjove;1
Mellemkjove;1
Mellemkjove/Almindelig Kjove;1
Storkjove;2
Kjove sp.;15
Lunde;1
Tejst;1
Tejst, Arktisk (ssp. mandtii);1
Tejst, Atlantisk (ssp. arcticus);1
Sodfarvet Terne;1
Tejst, Baltisk (ssp. grylle);1
Alk;10
Alaskaryle;1
Alk, Nordlig (ssp. torda);1
Alk, Atlantisk (ssp. islandica);1
Søkonge;1
Polarlomvie;1
Lomvie;20
Lomvie, Nordlig (ssp. aalge);1
Lomvie, Arktisk (ssp. hyperborea);1
Lomvie, Britisk (ssp. albionis);1
Lomvie/Alk;20
Alkefugl sp.;10
Brilleterne;1
Dværgterne;10
Rovterne;1
Sandterne;1
Hvidskægget Terne;1
Hvidvinget Terne;1
Sortterne;1
Moseterne sp.;1
Splitterne;100
Aztekerterne;1
Havterne;50
Fjordterne;100
Fjordterne/Havterne;100
Rosenterne;1
Terne sp.;100
Dværgmåge;10
Rosenmåge;1
Ride;500
Sabinemåge;1
Ismåge;1
Tyndnæbbet Måge;1
Bonapartemåge;1
Hættemåge;1500
Lattermåge;1
Præriemåge;1
Stor Sorthovedet Måge;1
Audouinsmåge;1
Sorthovedet Måge;1
Sorthovedet Måge x Hættemåge (hybrid);1
Ringnæbbet Måge;1
Stormmåge;1000
Stormmåge (ssp. canus);1000
Stormmåge, Russisk (ssp. heinei);1
Kaspisk Måge;1
Sølvmåge;1000
Sølvmåge x Kaspisk Måge (hybrid);1
Sølvmåge x Sildemåge (hybrid);1
Sølvmåge x Gråmåge (hybrid);1
Sølvmåge, Britisk (ssp. argenteus);1
Sølvmåge, Skandinavisk (ssp. argentatus);1000
Middelhavssølvmåge;1
Armensk Måge;1
Svartbag;100
Gråmåge;1
Sildemåge;100
Sildemåge, Britisk (ssp. graellsii);1
Sildemåge, Nordsøsildemåge (ssp. intermedius);100
Sildemåge, Baltisk (ssp. fuscus);1
Sildemåge, Sibirisk Måge (ssp. heuglini);1
Gråvinget Måge;1
Hvidvinget Måge;1
Hvidvinget Måge (ssp. glaucoides);1
Hvidvinget Måge, Baffinmåge (ssp. kumlieni);1
Hvidvinget Måge, Inuitmåge (ssp. thayeri);1
Måge sp.;1000
Rødstrubet Lom;100
Islom;1
Hvidnæbbet Lom;1
Islom/Hvidnæbbet Lom;1
Stillehavslom;1
Sortstrubet Lom;3
Rødstrubet Lom/Sortstrubet Lom;100
Lom sp.;100
